Name                                                                    | Base Price | Type
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Fizzz Cola                                                          | 3          | Miscellaneous/Drinks
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Carafi Noodles                                                      | 13         | Miscellaneous/Foods
Fizzz Triple Berry                                                  | 3          | Miscellaneous/Drinks
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Synergy                                                             | 6          | Miscellaneous/Drinks
Synergy+                                                            | 7          | Miscellaneous/Drinks
Odyssey II Helmet Alpha                                             | 1290       | Armor/Helmets
MacFlex Arms Olive                                                  | 584        | Armor/Arms
Balor HCH Helmet White                                              | 5306       | Armor/Helmets
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
Odyssey II Helmet Aqua                                              | 1290       | Armor/Helmets
LH86 Pistol Magazine (25 cap)                                       | 179        | Personal Weapons/Attachments
Venture Legs Olive                                                  | 1168       | Armor/Legs
Gallant Rifle Battery (45 cap)                                      | 410        | Personal Weapons/Attachments
TCS-4 Undersuit Twilight                                            | 1000       | Undersuits/Undersuits
ADP Core Tan                                                        | 5693       | Armor/Torso
Gallant "Stormfall" Rifle                                           | 4822       | Personal Weapons/Personal Weapons
ADP Arms Blue                                                       | 1559       | Armor/Arms
Beacon Undersuit Dark Grey                                          | 1000       | Undersuits/Undersuits
MacFlex Core White                                                  | 1780       | Armor/Torso
Arclight Pistol                                                     | 800        | Personal Weapons/Personal Weapons
TrueDef-Pro Arms                                                    | 586        | Armor/Arms
PAB-1 Legs Yellow                                                   | 1046       | Armor/Legs
ADP Core Dark Red                                                   | 5693       | Armor/Torso
PAB-1 Legs Twilight                                                 | 1046       | Armor/Legs
PAB-1 Arms                                                          | 584        | Armor/Arms
Tacit Suppressor1                                                   | 300        | Personal Weapons/Attachments
Calico Legs Tactical                                                | 914        | Armor/Legs
Balor HCH Helmet Orange                                             | 5306       | Armor/Helmets
Prism Laser Shotgun Battery (20 cap)                                | 248        | Personal Weapons/Attachments
Field Recon Suit Core                                               | 1780       | Armor/Torso
Veil Flash Hider2                                                   | 300        | Personal Weapons/Attachments
Venture Arms Yellow                                                 | 586        | Armor/Arms
Deadrig Shotgun Magazine (8 cap)                                    | 525        | Personal Weapons/Attachments
DustUp Arms Tactical                                                | 913        | Armor/Arms
ADP Core Dark Green                                                 | 5693       | Armor/Torso
Lumin V SMG Battery (45 cap)                                        | 400        | Personal Weapons/Attachments
Venture Helmet Aqua                                                 | 1705       | Armor/Helmets
S-38 Pistol                                                         | 825        | Personal Weapons/Personal Weapons
P4-AR Magazine (40 cap)                                             | 213        | Personal Weapons/Attachments
ORC-mkX Legs Autumn                                                 | 1288       | Armor/Legs
S71 Rifle Magazine (30 cap)                                         | 307        | Personal Weapons/Attachments
PAB-1 Legs Black                                                    | 1046       | Armor/Legs
ORC-mkX Legs Desert                                                 | 1288       | Armor/Legs
Animus Missile Launcher Magazine (3 cap)                            | 4950       | Personal Weapons/Attachments
TrueDef-Pro Legs                                                    | 1035       | Armor/Legs
ORC-mkV Legs Dark Red                                               | 1288       | Armor/Legs
Venture Arms                                                        | 586        | Armor/Arms
Sion Compensator1                                                   | 300        | Personal Weapons/Attachments
Balor HCH Helmet Blue                                               | 5306       | Armor/Helmets
Calico Arms Tactical                                                | 501        | Armor/Arms
Morozov-SH Core Brushdrift                                          | 10174      | Armor/Torso
ORC-mkV Core Violet                                                 | 3200       | Armor/Torso
Custodian SMG Magazine (60 cap)                                     | 358        | Personal Weapons/Attachments
Ravager-212 Twin Shotgun Magazine (16 cap)                          | 589        | Personal Weapons/Attachments
TCS-4 Undersuit Desert                                              | 1000       | Undersuits/Undersuits
ORC-mkV Core Purple                                                 | 3200       | Armor/Torso
Balor HCH Helmet                                                    | 5306       | Armor/Helmets
Gallant "Warhawk" Rifle                                             | 4822       | Personal Weapons/Personal Weapons
Karna Rifle                                                         | 4306       | Personal Weapons/Personal Weapons
Lynx Arms Embark                                                    | 470        | Armor/Arms
BR-2 Shotgun Magazine (12 cap)                                      | 250        | Personal Weapons/Attachments
ADP Arms Aqua                                                       | 1559       | Armor/Arms
Venture Arms Green                                                  | 586        | Armor/Arms
CBH-3 Helmet Base                                                   | 1626       | Armor/Helmets
Parallax Rifle Battery (80 Cap)                                     | 721        | Personal Weapons/Attachments
Lynx Core Abyss                                                     | 1456       | Armor/Torso
C54 SMG Magazine (50 cap)                                           | 250        | Personal Weapons/Attachments
Odyssey II Helmet Violet                                            | 1290       | Armor/Helmets
Venture Arms White                                                  | 586        | Armor/Arms
MK-4 Frag Grenade                                                   | 299        | Personal Weapons/Personal Weapons
ADP Arms Sienna                                                     | 1559       | Armor/Arms
Lynx Arms                                                           | 470        | Armor/Arms
ADP Arms Dark Green                                                 | 1559       | Armor/Arms
ORC-mkV Legs Purple                                                 | 1288       | Armor/Legs
Balor HCH Helmet Grey                                               | 5306       | Armor/Helmets
CBH-3 Helmet Yellow                                                 | 1626       | Armor/Helmets
ORC-mkX Core Singularity                                            | 3200       | Armor/Torso
ORC-mkX Arms Nightfire                                              | 971        | Armor/Arms
OxyPen                                                              | 260        | Miscellaneous/Consumables
CBH-3 Helmet Orange                                                 | 1626       | Armor/Helmets
Oracle Helmet                                                       | 1290       | Armor/Helmets
Morozov-SH-C Helmet Brushdrift                                      | 8473       | Armor/Helmets
PAB-1 Arms White                                                    | 584        | Armor/Arms
PAB-1 Arms Imperial                                                 | 584        | Armor/Arms
ORC-mkV Arms Dark Red                                               | 1053       | Armor/Arms
G-2 Helmet Black                                                    | 3247       | Armor/Helmets
Arclight "Boneyard" Pistol                                          | 837        | Personal Weapons/Personal Weapons
PAB-1 Arms Aqua                                                     | 584        | Armor/Arms
ADP Core Violet                                                     | 5693       | Armor/Torso
ORC-mkV Arms Sienna                                                 | 1053       | Armor/Arms
ORC-mkV Arms Grey                                                   | 1053       | Armor/Arms
MacFlex Legs Dark Red                                               | 1089       | Armor/Legs
CBH-3 Helmet Grey                                                   | 1626       | Armor/Helmets
ADP Legs Aqua                                                       | 2680       | Armor/Legs
ORC-mkV Core Dark Green                                             | 3200       | Armor/Torso
Arrowhead Sniper Rifle Battery (16 cap)                             | 537        | Personal Weapons/Attachments
Veil Flash Hider3                                                   | 350        | Personal Weapons/Attachments
FBL-8a Arms Desert Digital                                          | 604        | Armor/Arms
Odyssey II Undersuit Seagreen/Black                                 | 1000       | Undersuits/Undersuits
DustUp Helmet Tactical                                              | 2813       | Armor/Helmets
ORC-mkV Legs Grey                                                   | 1288       | Armor/Legs
Calico Helmet Tactical                                              | 1461       | Armor/Helmets
Stoneskin Undersuit                                                 | 1000       | Undersuits/Undersuits
ORC-mkV Core Desert                                                 | 3200       | Armor/Torso
ORC-mkX Core Twilight                                               | 3200       | Armor/Torso
Balor HCH Helmet Tan                                                | 5306       | Armor/Helmets
MacFlex Arms Orange                                                 | 584        | Armor/Arms
Venture Legs Twilight                                               | 1168       | Armor/Legs
PAB-1 Core Dark Red                                                 | 1523       | Armor/Torso
MacFlex Core Twilight                                               | 1780       | Armor/Torso
Field Recon Suit Arms                                               | 579        | Armor/Arms
ORC-mkV Arms Yellow                                                 | 1053       | Armor/Arms
Lynx Core Embark                                                    | 1456       | Armor/Torso
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
ORC-mkV Arms Red                                                    | 1053       | Armor/Arms
Calico Core Tactical                                                | 1514       | Armor/Torso
Beacon Undersuit Orange                                             | 1000       | Undersuits/Undersuits
MacFlex Core Grey                                                   | 1780       | Armor/Torso
TCS-4 Undersuit Black/Grey                                          | 1000       | Undersuits/Undersuits
CBH-3 Helmet Purple                                                 | 1626       | Armor/Helmets
ADP Arms Imperial                                                   | 1559       | Armor/Arms
Field Recon Suit Helmet                                             | 1589       | Armor/Helmets
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
FBL-8a Arms Imperial Red                                            | 606        | Armor/Arms
PAB-1 Core Red                                                      | 1523       | Armor/Torso
ADP-mk4 Helmet Woodland                                             | 5176       | Armor/Helmets
PAB-1 Core Dark Green                                               | 1523       | Armor/Torso
G-2 Helmet Woodland                                                 | 3247       | Armor/Helmets
Atzkav Sniper Rifle Battery (8 cap)                                 | 475        | Personal Weapons/Attachments
CBH-3 Helmet Black                                                  | 1626       | Armor/Helmets
FBL-8a Legs Imperial Red                                            | 852        | Armor/Legs
Quartz Energy SMG Battery (50 cap)                                  | 313        | Personal Weapons/Attachments
ADP Core Sienna                                                     | 5693       | Armor/Torso
MacFlex "Rucksack" Backpack                                         | 1320       | Armor/Backpacks
ORC-mkV Core Twilight                                               | 3200       | Armor/Torso
ADP Legs Imperial                                                   | 2680       | Armor/Legs
CBH-3 Helmet Twilight                                               | 1626       | Armor/Helmets
PAB-1 Core Grey                                                     | 1523       | Armor/Torso
ADP Legs Dark Green                                                 | 2680       | Armor/Legs
Devastator Shotgun Battery (12 cap)                                 | 486        | Personal Weapons/Attachments
Horizon Helmet Red                                                  | 1602       | Armor/Helmets
ORC-mkV Core Orange                                                 | 3200       | Armor/Torso
Horizon Helmet                                                      | 1602       | Armor/Helmets
PAB-1 Arms Black                                                    | 584        | Armor/Arms
Oracle Helmet Embark                                                | 1290       | Armor/Helmets
PAB-1 Core Black                                                    | 1523       | Armor/Torso
S-38 Magazine (20 cap)                                              | 150        | Personal Weapons/Attachments
Stirling Exploration Helmet                                         | 26780      | Armor/Helmets
P8-SC SMG Magazine (45 cap)                                         | 320        | Personal Weapons/Attachments
Coda Pistol Magazine (6 cap)                                        | 128        | Personal Weapons/Attachments
PAB-1 Core Seagreen                                                 | 1523       | Armor/Torso
ORC-mkV Legs Blue                                                   | 1288       | Armor/Legs
Karna Rifle Battery (35 cap)                                        | 256        | Personal Weapons/Attachments
ORC-mkX Legs Nightfire                                              | 1288       | Armor/Legs
Fresnel Energy LMG Battery (165 Cap)                                | 941        | Personal Weapons/Attachments
Balor HCH Helmet Twilight                                           | 5306       | Armor/Helmets
Scourge Railgun Magazine (5 cap)                                    | 6687       | Personal Weapons/Attachments
PAB-1 Core White                                                    | 1523       | Armor/Torso
ADP Arms Green                                                      | 1559       | Armor/Arms
Venture Legs Black                                                  | 1168       | Armor/Legs
Venture Helmet Orange                                               | 1705       | Armor/Helmets
A23 Helmet Woodland                                                 | 1290       | Armor/Helmets
Odyssey II Helmet Blue                                              | 1290       | Armor/Helmets
G-2 Helmet Tan                                                      | 3247       | Armor/Helmets
Yubarev Pistol Battery (10 cap)                                     | 150        | Personal Weapons/Attachments
G-2 Helmet Yellow                                                   | 3247       | Armor/Helmets
Odyssey II Undersuit Multi                                          | 1000       | Undersuits/Undersuits
Horizon Helmet Green                                                | 1602       | Armor/Helmets
Venture Legs Seagreen                                               | 1168       | Armor/Legs
Odyssey II Undersuit Tan/Black                                      | 1000       | Undersuits/Undersuits
Venture Undersuit Orange/Black                                      | 1000       | Undersuits/Undersuits
ORC-mkX Helmet Twilight                                             | 2863       | Armor/Helmets
ORC-mkX Arms Iceborn                                                | 971        | Armor/Arms
Venture Helmet Seagreen                                             | 1705       | Armor/Helmets
MacFlex Legs Olive                                                  | 1089       | Armor/Legs
Gamma Duo (2x Holographic)                                          | 700        | Personal Weapons/Attachments
ADP Arms Grey                                                       | 1559       | Armor/Arms
MacFlex Core Black                                                  | 1780       | Armor/Torso
Salvo Frag Pistol Magazine (8 cap)                                  | 75         | Personal Weapons/Attachments
FBL-8a Core Imperial Red                                            | 1474       | Armor/Torso
PAB-1 Legs Orange                                                   | 1046       | Armor/Legs
ORC-mkV Arms White                                                  | 1053       | Armor/Arms
PAB-1 Arms Dark Red                                                 | 584        | Armor/Arms
MacFlex Arms Imperial                                               | 584        | Armor/Arms
P6-LR Magazine (8 cap)                                              | 450        | Personal Weapons/Attachments
Horizon Helmet Violet                                               | 1602       | Armor/Helmets
LH86 Pistol                                                         | 803        | Personal Weapons/Personal Weapons
ADP Arms White                                                      | 1559       | Armor/Arms
CBH-3 Helmet White                                                  | 1626       | Armor/Helmets
ADP Legs Twilight                                                   | 2680       | Armor/Legs
ADP-mk4 Legs Woodland                                               | 2615       | Armor/Legs
ORC-mkX Legs Woodland                                               | 1288       | Armor/Legs
ORC-mkX Legs Twilight                                               | 1288       | Armor/Legs
R97 Shotgun Magazine (18 cap)                                       | 537        | Personal Weapons/Attachments
MacFlex Legs Violet                                                 | 1089       | Armor/Legs
ORC-mkV Legs Aqua                                                   | 1288       | Armor/Legs
ADP Arms Olive                                                      | 1559       | Armor/Arms
FS-9 Magazine (75 cap)                                              | 525        | Personal Weapons/Attachments
Demeco LMG Battery (100 cap)                                        | 520        | Personal Weapons/Attachments
TrueDef-Pro Core Base                                               | 2324       | Armor/Torso
PAB-1 Arms Twilight                                                 | 584        | Armor/Arms
Lynx Legs Embark                                                    | 830        | Armor/Legs
Pulse Laser Pistol Battery (60 Cap)                                 | 75         | Personal Weapons/Attachments
Venture Arms Blue                                                   | 586        | Armor/Arms
Beacon Undersuit                                                    | 1000       | Undersuits/Undersuits
Horizon Helmet Dark Red                                             | 1602       | Armor/Helmets
CBH-3 Helmet Dark Green                                             | 1626       | Armor/Helmets
ORC-mkV Core Grey                                                   | 3200       | Armor/Torso
ADP Core Black                                                      | 5693       | Armor/Torso
PAB-1 Legs Dark Red                                                 | 1046       | Armor/Legs
Lynx Legs                                                           | 830        | Armor/Legs
ORC-mkV Legs                                                        | 1288       | Armor/Legs
Venture Core Olive                                                  | 1780       | Armor/Torso
ORC-mkX Helmet Desert                                               | 2863       | Armor/Helmets
A03 Sniper Rifle Magazine (15 cap)                                  | 400        | Personal Weapons/Attachments
Renegade Helmet Tactical                                            | 1375       | Armor/Helmets
MacFlex Legs Orange                                                 | 1089       | Armor/Legs
ORC-mkV Arms Seagreen                                               | 1053       | Armor/Arms
Venture Arms Sienna                                                 | 586        | Armor/Arms
MacFlex Legs Red                                                    | 1089       | Armor/Legs
Odyssey II Helmet Olive                                             | 1290       | Armor/Helmets
G-2 Helmet Red                                                      | 3247       | Armor/Helmets
Field Recon Suit Legs                                               | 536        | Armor/Legs
PAB-1 Legs Blue                                                     | 1046       | Armor/Legs
ADP Legs Yellow                                                     | 2680       | Armor/Legs
ADP Core                                                            | 5693       | Armor/Torso
MacFlex Arms Seagreen                                               | 584        | Armor/Arms
Odyssey II Helmet Twilight                                          | 1290       | Armor/Helmets
CSP-68L Backpack                                                    | 1450       | Armor/Backpacks
ADP Core Red                                                        | 5693       | Armor/Torso
Arclight "Stormfall" Pistol                                         | 837        | Personal Weapons/Personal Weapons
Tacit Suppressor3                                                   | 525        | Personal Weapons/Attachments
DustUp Core Tactical                                                | 3647       | Armor/Torso
Stoneskin Helmet Desert                                             | 1290       | Armor/Helmets
DustUp Legs Tactical                                                | 1216       | Armor/Legs
Venture Legs Dark Green                                             | 1168       | Armor/Legs
MacFlex Backpack Granite Red                                        | 1320       | Armor/Backpacks
ADP Legs Red                                                        | 2680       | Armor/Legs
Scalpel Sniper Rifle Magazine (12 cap)                              | 640        | Personal Weapons/Attachments
F55 LMG Magazine (150 cap)                                          | 895        | Personal Weapons/Attachments
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Custodian "Nightstalker" SMG                                        | 2552       | Personal Weapons/Personal Weapons
Horizon Helmet Purple                                               | 1602       | Armor/Helmets
P8-AR Rifle Magazine (15 Cap)                                       | 150        | Personal Weapons/Attachments
MacFlex Core Aqua                                                   | 1780       | Armor/Torso
G-2 Helmet Imperial                                                 | 3247       | Armor/Helmets
Beacon Undersuit Crimson                                            | 1000       | Undersuits/Undersuits
Tacit Suppressor2                                                   | 450        | Personal Weapons/Attachments
Arclight Pistol Battery (30 cap)                                    | 282        | Personal Weapons/Attachments
Beacon Undersuit Purple                                             | 1000       | Undersuits/Undersuits
Horizon Helmet Olive                                                | 1602       | Armor/Helmets
ORC-mkX Core Arctic                                                 | 3200       | Armor/Torso
ForceFlex Undersuit Black/Gold                                      | 1000       | Undersuits/Undersuits
Argus Helmet                                                        | 1472       | Armor/Helmets
Custodian "Warhawk" SMG                                             | 2552       | Personal Weapons/Personal Weapons
ORC-mkV Core Green                                                  | 3200       | Armor/Torso
Balor HCH Helmet Seagreen                                           | 5306       | Armor/Helmets
Emod Stabilizer2                                                    | 450        | Personal Weapons/Attachments
ORC-mkX Core Desert                                                 | 3200       | Armor/Torso
ADP Legs Grey                                                       | 2680       | Armor/Legs
PAB-1 Legs Desert                                                   | 1046       | Armor/Legs
Sion Compensator3                                                   | 525        | Personal Weapons/Attachments
PAB-1 Legs Aqua                                                     | 1046       | Armor/Legs
ORC-mkX Legs Iceborn                                                | 1288       | Armor/Legs
PAB-1 Arms Orange                                                   | 584        | Armor/Arms
Zenith Laser Sniper Rifle Battery (22 Cap)                          | 347        | Personal Weapons/Attachments
CSP-68H Backpack                                                    | 2500       | Armor/Backpacks
ADP Arms Yellow                                                     | 1559       | Armor/Arms
PAB-1 Core Desert                                                   | 1523       | Armor/Torso
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
LH86 Pistol Magazine (25 cap)                                       | 173        | Personal Weapons/Attachments
Gallant Rifle Battery (45 cap)                                      | 396        | Personal Weapons/Attachments
Tacit Suppressor1                                                   | 300        | Personal Weapons/Attachments
Prism Laser Shotgun Battery (20 cap)                                | 248        | Personal Weapons/Attachments
Deadrig Shotgun Magazine (8 cap)                                    | 525        | Personal Weapons/Attachments
Lumin V SMG Battery (45 cap)                                        | 400        | Personal Weapons/Attachments
P4-AR Magazine (40 cap)                                             | 203        | Personal Weapons/Attachments
S71 Rifle Magazine (30 cap)                                         | 297        | Personal Weapons/Attachments
Animus Missile Launcher Magazine (3 cap)                            | 5130       | Personal Weapons/Attachments
P4-AR "Boneyard" Rifle                                              | 4628       | Personal Weapons/Personal Weapons
Delta (1x Reflex)                                                   | 400        | Personal Weapons/Attachments
Custodian SMG Magazine (60 cap)                                     | 346        | Personal Weapons/Attachments
Ravager-212 Twin Shotgun Magazine (16 cap)                          | 569        | Personal Weapons/Attachments
Gallant "Boneyard" Rifle                                            | 5056       | Personal Weapons/Personal Weapons
BR-2 Shotgun Magazine (12 cap)                                      | 250        | Personal Weapons/Attachments
Parallax Rifle Battery (80 Cap)                                     | 721        | Personal Weapons/Attachments
C54 SMG Magazine (50 cap)                                           | 250        | Personal Weapons/Attachments
MK-4 Frag Grenade                                                   | 284        | Personal Weapons/Personal Weapons
OxyPen                                                              | 269        | Miscellaneous/Consumables
Sion Compensator2                                                   | 450        | Personal Weapons/Attachments
Arrowhead Sniper Rifle Battery (16 cap)                             | 519        | Personal Weapons/Attachments
BR-2 Shotgun                                                        | 4996       | Personal Weapons/Personal Weapons
Arclight "Midnight" Pistol                                          | 1081       | Personal Weapons/Personal Weapons
Custodian SMG                                                       | 2466       | Personal Weapons/Personal Weapons
ReadyMeal (Beef Chunks)                                             | 14         | Miscellaneous/Foods
CRUZ Lux                                                            | 7          | Miscellaneous/Drinks
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
MedPen (Hemozal)                                                    | 275        | Miscellaneous/Consumables
Atzkav Sniper Rifle Battery (8 cap)                                 | 475        | Personal Weapons/Attachments
Quartz Energy SMG Battery (50 cap)                                  | 313        | Personal Weapons/Attachments
Devastator Shotgun Battery (12 cap)                                 | 470        | Personal Weapons/Attachments
S-38 Magazine (20 cap)                                              | 150        | Personal Weapons/Attachments
P8-SC SMG Magazine (45 cap)                                         | 304        | Personal Weapons/Attachments
Coda Pistol Magazine (6 cap)                                        | 124        | Personal Weapons/Attachments
Karna Rifle Battery (35 cap)                                        | 248        | Personal Weapons/Attachments
Fresnel Energy LMG Battery (165 Cap)                                | 941        | Personal Weapons/Attachments
Scourge Railgun Magazine (5 cap)                                    | 6348       | Personal Weapons/Attachments
Devastator "Midnight" Shotgun                                       | 4621       | Personal Weapons/Personal Weapons
Devastator "Nightstalker" Shotgun                                   | 4621       | Personal Weapons/Personal Weapons
Yubarev Pistol Battery (10 cap)                                     | 150        | Personal Weapons/Attachments
Gamma Duo (2x Holographic)                                          | 700        | Personal Weapons/Attachments
Salvo Frag Pistol Magazine (8 cap)                                  | 75         | Personal Weapons/Attachments
P6-LR Magazine (8 cap)                                              | 450        | Personal Weapons/Attachments
R97 Shotgun Magazine (18 cap)                                       | 519        | Personal Weapons/Attachments
FS-9 Magazine (75 cap)                                              | 525        | Personal Weapons/Attachments
Demeco LMG Battery (100 cap)                                        | 520        | Personal Weapons/Attachments
Pulse Laser Pistol Battery (60 Cap)                                 | 75         | Personal Weapons/Attachments
P8-SC SMG                                                           | 3154       | Personal Weapons/Personal Weapons
A03 Sniper Rifle Magazine (15 cap)                                  | 400        | Personal Weapons/Attachments
Scalpel Sniper Rifle Magazine (12 cap)                              | 618        | Personal Weapons/Attachments
ReadyMeal (Vegetarian)                                              | 18         | Miscellaneous/Foods
F55 LMG Magazine (150 cap)                                          | 865        | Personal Weapons/Attachments
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Custodian "Nightstalker" SMG                                        | 2812       | Personal Weapons/Personal Weapons
Emod Stabilizer3                                                    | 525        | Personal Weapons/Attachments
P8-AR Rifle Magazine (15 Cap)                                       | 150        | Personal Weapons/Attachments
Arclight Pistol Battery (30 cap)                                    | 272        | Personal Weapons/Attachments
Emod Stabilizer2                                                    | 450        | Personal Weapons/Attachments
Zenith Laser Sniper Rifle Battery (22 Cap)                          | 347        | Personal Weapons/Attachments
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
Excelsior                                                           | 8640       | Systems/Jump Modules
StarBurn                                                            | 103950     | Systems/Power Plants
Ward                                                                | 68400      | Systems/Shield Generators
Aufeis                                                              | 28800      | Systems/Coolers
Lotus                                                               | 101200     | Systems/Power Plants
ARMOR                                                               | 81000      | Systems/Shield Generators
QuikCool                                                            | 12600      | Systems/Coolers
Stor*All 1 SCU Self-Storage Container                               | 2100       | Utility/Containers
FullFrost                                                           | 21600      | Systems/Coolers
Exodus                                                              | 17280      | Systems/Jump Modules
Gelid                                                               | 14400      | Systems/Coolers
Cambio-Lite SRT Canister                                            | 275        | Personal Weapons/Attachments
Cinch Scraper Module                                                | 11150      | Utility/Scraper Beams
Cambio SRT Canister                                                 | 175        | Personal Weapons/Attachments
RN-7s                                                               | 16650      | Utility/Docking Collars
Fuse                                                                | 180        | Miscellaneous/Miscellaneous
Graupel                                                             | 17280      | Systems/Coolers
SunFlare                                                            | 41580      | Systems/Power Plants
Zephyr                                                              | 62370      | Systems/Quantum Drives
Abrade Scraper Module                                               | 21250      | Utility/Scraper Beams
Cambio-Lite SRT Attachment                                          | 375        | Personal Weapons/Attachments
GSX-RF                                                              | 52500      | Utility/External Fuel Tanks
LightBlossom                                                        | 37972      | Systems/Power Plants
Rampart                                                             | 68400      | Systems/Shield Generators
Hyperion                                                            | 29925      | Systems/Quantum Drives
SonicLite                                                           | 54921      | Systems/Power Plants
HAVEN                                                               | 54000      | Systems/Shield Generators
Steward                                                             | 17100      | Systems/Shield Generators
Norfield                                                            | 11250      | Utility/Docking Collars
HeatSafe                                                            | 19974      | Systems/Coolers
Cambio SRT                                                          | 20900      | Personal Weapons/Personal Weapons
SolarFlare                                                          | 83160      | Systems/Power Plants
Cambio-Lite SRT Canister (Filled)                                   | 275        | Personal Weapons/Attachments
Explorer                                                            | 4320       | Systems/Jump Modules
Drift                                                               | 49895      | Systems/Quantum Drives
ReadyGrip Tractor Module                                            | 11150      | Utility/Scraper Beams
ZapJet                                                              | 18438      | Systems/Power Plants
Bolt                                                                | 124740     | Systems/Quantum Drives
Stor*All 2 SCU Self-Storage Container                               | 4250       | Utility/Containers
GEO Resource Pod                                                    | 1250       | Utility/Containers
CR-60                                                               | 78600      | Utility/External Fuel Tanks
IonBurst                                                            | 29700      | Systems/Power Plants
LightFire                                                           | 35910      | Systems/Quantum Drives
IcePlunge                                                           | 18096      | Systems/Coolers
7MA 'Lorica'                                                        | 57000      | Systems/Shield Generators
Drake Buccaneer Spinal Mount                                        | 7000       | Vehicle Weapons/Turrets
MSD-582 Missile Rack                                                | 13915      | Vehicle Weapons/Missile Racks
'Bullet' II Missile                                                 | 4860       | Vehicle Weapons/Missiles
Specialty Hornet S5 VariPuck Mount                                  | 14500      | Vehicle Weapons/Turrets
Omnisky VI Cannon                                                   | 33400      | Vehicle Weapons/Guns
Omnisky XVIII Cannon                                                | 855965     | Vehicle Weapons/Guns
MSD-481 Missile Rack                                                | 5565       | Vehicle Weapons/Missile Racks
DR Model-XJ1 Repeater                                               | 12940      | Vehicle Weapons/Guns
MSD-543 Missile Rack                                                | 20875      | Vehicle Weapons/Missile Racks
Marksman I Missile                                                  | 2565       | Vehicle Weapons/Missiles
M3A Cannon                                                          | 14845      | Vehicle Weapons/Guns
MSD-515 Missile Rack                                                | 46965      | Vehicle Weapons/Missile Racks
MSD-341 Missile Rack                                                | 3340       | Vehicle Weapons/Missile Racks
M6A Cannon                                                          | 169080     | Vehicle Weapons/Guns
VariPuck S6 Gimbal Mount                                            | 21750      | Vehicle Weapons/Turrets
VariPuck S8 Gimbal Mount                                            | 21750      | Vehicle Weapons/Turrets
MSD-625 Missile Rack                                                | 78280      | Vehicle Weapons/Missile Racks
MSD-322 Missile Rack                                                | 5010       | Vehicle Weapons/Missile Racks
TaskForce I Missile                                                 | 2565       | Vehicle Weapons/Missiles
Pathfinder IV Missile                                               | 14960      | Vehicle Weapons/Missiles
MSD-616 Missile Rack                                                | 117415     | Vehicle Weapons/Missile Racks
VariPuck S2 Gimbal Mount                                            | 2000       | Vehicle Weapons/Turrets
VariPuck S1 Gimbal Mount                                            | 1000       | Vehicle Weapons/Turrets
CVSA Cannon                                                         | 26720      | Vehicle Weapons/Guns
VariPuck S3 Gimbal Mount                                            | 3500       | Vehicle Weapons/Turrets
Anvil Hornet Mk II S2 Nose Turret                                   | 20250      | Vehicle Weapons/Turrets
VariPuck S5 Gimbal Mount                                            | 11750      | Vehicle Weapons/Turrets
Thunderbolt III Missile                                             | 7875       | Vehicle Weapons/Missiles
M7A Cannon                                                          | 380430     | Vehicle Weapons/Guns
'Dragon' IV Missile                                                 | 15745      | Vehicle Weapons/Missiles
CF-337 Panther Repeater                                             | 42715      | Vehicle Weapons/Guns
Argos IX Torpedo                                                    | 297540     | Vehicle Weapons/Missiles
MSD-644 Missile Rack                                                | 52185      | Vehicle Weapons/Missile Racks
Quarreler Cannon                                                    | 83055      | Vehicle Weapons/Guns
Suckerpunch Cannon                                                  | 18750      | Vehicle Weapons/Guns
Anvil Hornet F7C Nose Turret                                        | 4750       | Vehicle Weapons/Turrets
MSD-414 Missile Rack                                                | 18785      | Vehicle Weapons/Missile Racks
VariPuck S4 Gimbal Mount                                            | 6500       | Vehicle Weapons/Turrets
CF-447 Rhino Repeater                                               | 96110      | Vehicle Weapons/Guns
MSD-313 Missile Rack                                                | 7515       | Vehicle Weapons/Missile Racks
MSD-423 Missile Rack                                                | 12525      | Vehicle Weapons/Missile Racks
Breakfast Dog                                                       | 16         | Miscellaneous/Foods
Fizzz Cola                                                          | 3          | Miscellaneous/Drinks
Chili Dog                                                           | 14         | Miscellaneous/Foods
Yakisoba Dog                                                        | 14         | Miscellaneous/Foods
Veggie Dog                                                          | 17         | Miscellaneous/Foods
Pips Energy T17                                                     | 3          | Miscellaneous/Drinks
Pips Q66                                                            | 3          | Miscellaneous/Drinks
Melty Dog                                                           | 15         | Miscellaneous/Foods
Fizzz Soursop                                                       | 4          | Miscellaneous/Drinks
Double Dog                                                          | 11         | Miscellaneous/Foods
Cruiser Dog                                                         | 12         | Miscellaneous/Foods
Classic Dog                                                         | 18         | Miscellaneous/Foods
