=== FPS ARMOR ===

=== HELMETS ===
Name                                               | Type            | Damage reduction | Min temp (°C) | Max temp (°C) | Radiation Resistnace (REM) | Radiation Scrub Rate (REM/s) | Capacity (μSCU) | Volume (μSCU) | Image
Syulen Chui’ā Livery                              | 24000         |      
PTV Rifle Green Livery                            | 24000         |      
Sabre Stormbringer Livery                         | 24000         |      
Hornet Ironscale Livery                           | 24000         |      
Retaliator Calico Livery                          | 24000         |      
Spirit Ruby Livery                                | 24000         |      
Cutlass Hawthorn Livery                           | 24000         |      
Spirit Crusader Livery                            | 24000         |      
Fury Templar Livery                               | 24000         |      
Freelancer Crusader Livery                        | 24000         |      
Idris Triton Camo Livery                          | 24000         |      
Starlancer Updraft Livery                         | 24000         |      
RAFT Hazard Livery                                | 24000         |      
Zeus Mk II Obsidian Livery                        | 24000         |      
Zeus Mk II Frontier Livery                        | 24000         |      
Apollo Lifeline Livery                            | 24000         |      
300 Series Solar Flare Paint                      | 24000         |      
Sabre Ashcloud Livery                             | 24000         |      
Constellation Polar Livery                        | 24000         |      
Corsair Downburst Camo Livery                     | 24000         |      
Spirit Crimson Livery                             | 24000         |      
Razor Central Tower Livery                        | 24000         |      
Sabre Polar Camo Livery                           | 24000         |      
890 Jump Skyline Livery                           | 24000         |      
M50 Skullcrusher Livery                           | 24000         |      
Hercules Starlifter Invictus Blue and Gold Livery | 24000         |      
Mule Ghoulish Green Livery                        | 24000         |      
Gladius Timberline Livery                         | 24000         |      
Nox Finish Line Livery                            | 24000         |      
Corsair Eternity Livery                           | 24000         |      
Mercury Star Runner Polar Camo Livery             | 24000         |      
Guardian Burnout Livery                           | 24000         |      
Nova Gunmetal Livery                              | 24000         |      
Starlancer Bonfire Livery                         | 24000         |      
Prospector Nebula Livery                          | 24000         |      
Ursa Oasis Livery                                 | 24000         |      
Ares Star Fighter Flint Livery                    | 24000         |      
Asgard Last Light Livery                          | 24000         |      
Hornet Mk II Blacksmith Livery                    | 24000         |      
Carrack 2953 Auspicious Red Rooster Livery        | 24000         |      
Herald Stormbringer Livery                        | 24000         |      
Razor Stormbringer Livery                         | 24000         |      
Ursa IceBreak Livery                              | 24000         |      
Cutlass Skull and Crossbones Livery               | 24000         |      
Aurora Crusader Livery                            | 24000         |      
Centurion Sandstorm Camo Livery                   | 24000         |      
100 Series Frostbite Camo Livery                  | 24000         |      
Ares Star Fighter Celestial Blue Livery           | 24000         |      
300 Series Black & Royal Paint                    | 24000         |      
Dragonfly Mistwalker Livery                       | 24000         |      
Asgard Sky Forge Livery                           | 24000         |      
Starlancer ArcCorp Livery                         | 24000         |      
P-Series Murray Cup Livery                        | 24000         |      
Avenger Solar Winds Livery                        | 24000         |      
Cutter Headhunters Trauma Livery                  | 24000         |      
Mercury Star Runner Silver Spark Livery           | 24000         |      
Cutlass Foundation Fest Livery                    | 24000         |      
Buccaneer Polar Livery                            | 24000         |      
Scorpius Lovestruck Livery                        | 24000         |      
400i Meridian Livery                              | 24000         |      
Vulture 2953 Best in Show Livery                  | 24000         |      
100 Series Deck the Hull Livery                   | 24000         |      
Cutter Aspire Livery                              | 24000         |      
Guardian Red Skies Livery                         | 24000         |      
Mustang Fortuna Livery                            | 24000         |      
Mustang Omega Livery                              | 24000         |      
Mercury Star Runner Fortuna Livery                | 24000         |      
Syulen Luminary Livery                            | 24000         |      
Starfarer Foundation Fest Livery                  | 24000         |      
Constellation 2952 Auspicious Red Monkey Livery   | 24000         |      
Avenger Ironweave Livery                          | 24000         |      
Nox Thli Livery                                   | 24000         |      
Spirit Intrepid Livery                            | 24000         |      
Reliant Sen Livery                                | 24000         |      
Vulture Carbonide Livery                          | 24000         |      
Hornet Ironheart Livery                           | 24000         |      
Meteor Skylark Livery                             | 24000         |      
Reclaimer Showdown Livery                         | 24000         |      
ATLS Keystone Livery                              | 24000         |      
Nomad Polar Camo Livery                           | 24000         |      
Mercury Star Runner 2951 Best in Show Livery      | 24000         |      
Pisces 2953 Auspicious Red Rooster Livery         | 24000         |      
Gladius Invictus Blue and Gold Livery             | 24000         |      
Prowler Luminary Livery                           | 24000         |      
Freelancer Black Livery                           | 24000         |      
Fury Wasteland Camo Livery                        | 24000         |      
Hercules Starlifter Draco Livery                  | 24000         |      
Aurora Light and Dark Grey Livery                 | 24000         |      
Zeus Frontier Fighters Camo Livery                | 24000         |      
Prowler Harmony Livery                            | 24000         |      
Ares Star Fighter Cinder Livery                   | 24000         |      
ATLS Safety Orange Livery                         | 24000         |      
Valkyrie Splinter Livery                          | 24000         |      
Zeus MK II Purple Haze Livery                     | 24000         |      
ROC Hazard Livery                                 | 24000         |      
MPUV-1T Storm Grey Livery                         | 24000         |      
Hercules Starlifter 2951 Best in Show Livery      | 24000         |      
Terrapin 2954 Best in Show Livery                 | 24000         |      
Pulse Undertow Livery                             | 24000         |      
Intrepid Wavefront Livery                         | 24000         |      
Cutter Deck the Hull Livery                       | 24000         |      
Gladius Foundation Fest Livery                    | 24000         |      
Reliant Timberline Livery                         | 24000         |      
ROC Hadanite Livery                               | 24000         |      
Nova Nightbreak Livery                            | 24000         |      
Freelancer Whammer's Livery                       | 24000         |      
Gladius Solar Winds Livery                        | 24000         |      
100i 2954 Auspicious Red Dragon Livery            | 24000         |      
Carrack Polar Livery                              | 24000         |      
Cutter Pyrite Livery                              | 24000         |      
Eclipse Ambush Camo Livery                        | 24000         |      
Polaris Black Magic Livery                        | 24000         |      
Razor Polar Livery                                | 24000         |      
Fury Cloudburst Livery                            | 24000         |      
100 Series Sand Wave Livery                       | 24000         |      
Intrepid Nocturne Livery                          | 24000         |      
Hornet Mk II Tigerveil Livery                     | 24000         |      
Retaliator Grey Livery                            | 24000         |      
400i Afterglow Livery                             | 24000         |      
Cutter XenoThreat Purge Livery                    | 24000         |      
Guardian Harlequin Livery                         | 24000         |      
Cutter 2955 Auspicious Red Snake Livery           | 24000         |      
Arrow Light Green and Grey Livery                 | 24000         |      
Freelancer Ellroy's Livery                        | 24000         |      
Prowler Elysian Livery                            | 24000         |      
Starlancer Tellus Livery                          | 24000         |      
Herald Ghoulish Green Livery                      | 24000         |      
Eclipse 2950 Best In Show Livery                  | 24000         |      
STV Whirlwind Livery                              | 24000         |      
Spirit 2954 Best in Show Livery                   | 24000         |      
Vulture Dying Star Livery (Modified)              | 24000         |      
MPUV Nightbreak Livery                            | 24000         |      
Freelancer ArcCorp Livery                         | 24000         |      
Razor Aspire Livery                               | 24000         |      
Asgard Sand Sea Livery                            | 24000         |      
Vulture Ghoulish Green Livery                     | 24000         |      
Hornet Mk II Shikari Livery                       | 24000         |      
Hornet Mk II Fortitude Livery                     | 24000         |      
Avenger IceBreak Livery                           | 24000         |      
ATLS Foreman Livery                               | 24000         |      
Hornet Mk II Canopy Camo Livery                   | 24000         |      
300 Series Sagebrush Paint                        | 24000         |      
HoverQuad Slipstream Livery                       | 24000         |      
Vanguard Fortuna Livery                           | 24000         |      
Nomad Conifer Livery                              | 24000         |      
Ursa Red Livery                                   | 24000         |      
Retaliator Invictus Blue and Gold Livery          | 24000         |      
Constellation Dark Green Livery                   | 24000         |      
Terrapin Purple Haze Livery                       | 24000         |      
Nox Wanderer Livery                               | 24000         |      
Eclipse Meridian Livery                           | 24000         |      
Prospector Deck the Hull Livery                   | 24000         |      
ROC Dolivine Livery                               | 24000         |      
Nomad IceBreak Livery                             | 24000         |      
Prowler Ocellus Livery                            | 24000         |      
Hercules Starlifter ArcCorp Livery                | 24000         |      
Dragonfly Yellowjacket Livery                     | 24000         |      
600i 2954 Auspicious Red Dog Livery               | 24000         |      
400i Stormbringer Livery                          | 24000         |      
Arrow Tan and Green Livery                        | 24000         |      
PTV Cherry Livery                                 | 24000         |      
Talon Ocellus Livery                              | 24000         |      
Sabre Landslide Livery                            | 24000         |      
Fortune Highlander Livery                         | 24000         |      
Hornet Mk II Regalia Livery                       | 24000         |      
Golem Coalheart Livery                            | 24000         |      

=== OTHER ===

=== CONTAINERS ===
Name                                   | Capacity (μSCU) | Volume (μSCU) | Image
Large Container (Uncommon)             | 97518           | 26604         |      
Salvaged Skull 4 SCU Container         | 4000000         | 4000000       |      
Salvaged Skull 8 SCU Container         | 8000000         | 8000000       |      
Stor*All 1 SCU Self-Storage Container  | 1000000         | 1000000       |      
Drake Ore Pod                          | 0               | 16000000      |      
Salvaged Skull 2 SCU Container         | 2000000         | 2000000       |      
Stor*All 8 SCU Self-Storage Container  | 8000000         | 8000000       |      
Container (1SCU - Destroyed Inventory) | 1000000         | 1950000       |      
Container (2SCU - Destroyed Inventory) | 2000000         | 2500000       |      
Large Container (Rare)                 | 97518           | 26604         |      
Stor*All 1/8 SCU Storage Box           | 122500          | 125000        |      
MISC Ore Pod                           | 0               | 8000000       |      
Stor*All 4 SCU Self-Storage Container  | 4000000         | 4000000       |      
Stor*All 2 SCU Self-Storage Container  | 2000000         | 2000000       |      
GEO Resource Pod                       | 0.01            | 135000        |      
Greycat ROC-DS Ore Pod                 | 0.34            | 3000000       |      
Greycat ROC Ore Pod                    | 0.12            | 2500000       |      
Small Container (Common)               | 97336           | 97730         |      
Salvaged Skull 1 SCU Container         | 1000000         | 1000000       |      
Argo Ore Pod                           | 0               | 8000000       |      
CitizenCon 2954 Storage Chest          |                 | 2000000       |      

=== SOUVENIRS/FLAIR ===
Name                                                       | Volume (μSCU) | Image
Puglisi Collection: Artifact                               | 1             |      
Red Heart Plushie                                          | 18861         |      
Hello Sunshine Happy Planter                               | 8420          |      
Wooden Rooster Charm (Medium)                              | 5100          |      
Basketball                                                 | 1             |      
Aegis Reclaimer Schematic "Best in Show Finalist 2949"     | 1             |      
Aegis Sabre Schematic                                      | 1             |      
Wally's Bar Hologram Replica                               | 61716         |      
Gamescom 2944 Trophy                                       | 6600          |      
Aegis Hammerhead Schematic "Best in Show Finalist 2949"    | 1             |      
ARGO MPUV Schematic                                        | 1             |      
Drake Caterpillar Schematic                                | 1             |      
United Empire of Earth Mini-Flag                           | 1             |      
Picoball                                                   | 8400          |      
Gamescom 2945 Special Edition Trophy                       | 6600          |      
CitizenCon 2946 Trophy                                     | 6600          |      
Cutlass Steel Plushie                                      | 5620          |      
Red Wind Cargo Plushie                                     | 133490        |      
Freelancer Model "Gold"                                    | 1             |      
Medium Artifact Fragment (Flawed)                          | 163           |      
CDF F8C Certification Pass (Gold)                          | 120           |      
Wooden Rooster Charm (Large)                               | 5100          |      
Twenty-Sided Plushie Green                                 | 29260         |      
Pico the Penguin Plushie (1_a)                             | 49400         |      
CitizenCon 2018 Knife Display                              | 1             |      
T.A.B.A. Cargo Plushie                                     | 133490        |      
Khartu-al Model "Prestige Series"                          | 1             |      
Hull C Model Box                                           | 29190         |      
Large Artifact Fragment (Flawed)                           | 2324          |      
Cockpit Recorder Prop                                      | 6600          |      
Constellation Model "Gold"                                 | 1             |      
Armin Trask Action Figure (Imperator Edition)              | 1             |      
Freelancer Model                                           | 1             |      
Hornet F7C-R Model                                         | 1             |      
Drake Herald Schematic                                     | 1             |      
Stormwal Sculpture Replica                                 | 36807         |      
Tholo                                                      | 140           |      
Tuserac Plena (Emperor Blossom) Plant                      | 1             |      
Pico the Penguin Party Animal Purple Plushie               | 58700         |      
Tholo (Translated)                                         | 140           |      
IMS Bolliver - Sol                                         | 1             |      
Chance Cube                                                | 194           |      
Ship Showdown '52 Mercury Coin                             | 110           |      
Sakura Fun White ORC-mkX Armor Bobblehead                  | 1             |      
Medium Artifact Fragment (Pristine)                        | 163           |      
Picoball (Triggerfish)                                     | 8400          |      
RSI Constellation Painting                                 | 1             |      
Tumbril Nova Model "Badland" Box                           | 1             |      
Twenty-Sided Plushie Red                                   | 29260         |      
M50 Model                                                  | 1             |      
CitizenCon 2945 Trophy                                     | 6600          |      
Foundation Festival '54 Coin                               | 110           |      
Mustang Alpha Model                                        | 1             |      
Holiday Wreath                                             | 1             |      
2942 Bond Plaque                                           | 1             |      
Constellation Model                                        | 1             |      
Cereus Rubra (Kavische) Plant                              | 1             |      
Pico the Penguin Luminalia Plushie                         | 49400         |      
CitizenCon 2953 Trophy                                     | 29708         |      
Liquor Cabinet                                             | 1             |      
Book (8_a_Triggerfish)                                     | 4400          |      
350r Model                                                 | 1             |      
Large Artifact Fragment (Damaged)                          | 2324          |      
Pyrotechnic Amalgamated Toolbox                            | 27590         |      
Workbench                                                  | 1             |      
Mustang Delta Model                                        | 1             |      
Banu Lockbox Replica                                       | 2200          |      
Holiday Tree                                               | 1             |      
A2 Hercules Starlifter Plushie                             | 6620          |      
Wikelo Favor                                               | 2200          |      
Tumbril Nova Model "Snowblind"                             | 1             |      
Aurora Model "Gold"                                        | 1             |      
United Nations of Earth Mini-Flag                          | 1             |      
Day of the Vara '54 Coin                                   | 110           |      
Interstellar Transport Guild Container Model               | 3000          |      
Puglisi Collection: Scythe Plating                         | 1             |      
Finley the Stormwal Large Plushie                          | 28300         |      
Stella Fortuna '54 Coin                                    | 110           |      
Interstellar Transport Guild Cargo Plushie                 | 133490        |      
Pico the Penguin Party Animal Orange Plushie               | 52700         |      
Ship Showdown '52 Coin                                     | 110           |      
Hull C Miniature                                           | 290           |      
CitizenCon 2946 Special Edition Trophy                     | 6600          |      
Polaris Bit                                                | 1             |      
Deactivated Tephra Mine                                    | 1             |      
Luminalia Cookie Jar                                       | 1             |      
Avenger Model                                              | 1             |      
Pico the Penguin Plushie (2_a)                             | 49400         |      
Ophelia Vine Plant                                         | 1             |      
CitizenCon '54 Coin                                        | 110           |      
Reliant Model                                              | 1             |      
Icarus-One - Sol                                           | 1             |      
Toothbrush                                                 | 130           |      
Altrucia Lacus (Revenant Tree) Plant                       | 1             |      
Battle of Vega II Vanduul Skull                            | 32070         |      
Fish Tank (Gold)                                           | 4000000       |      
Zeus Plushie                                               | 3200          |      
Thorshu Grey                                               | 1             |      
M2 Hercules Starlifter Plushie                             | 6620          |      
Tumbril Nova Model "Snowblind" Box                         | 1             |      
Menarik                                                    | 1             |      
Hat and Monocle                                            | 1             |      
Puglisi Collection: Skull                                  | 1             |      
UDM Container Model                                        | 3000          |      
Port Olisar - Stanton                                      | 1             |      
Avenger Model "Gold"                                       | 1             |      
Book (12_a_(riggerfish)                                    | 1300          |      
Wooden Rooster Charm (Small)                               | 5100          |      
Banded Fessle                                              | 1             |      
Footlocker                                                 | 1             |      
Pico the Penguin Party Animal Green Plushie                | 50000         |      
Donation Plaque                                            | 1             |      
UDM Cargo Plushie                                          | 133490        |      
Gladius Model                                              | 1             |      
PAX Trophy                                                 | 1             |      
Valakkar Plushie                                           | 6600          |      
Sakura Fun Blue ORC-mkX Armor Bobblehead                   | 1             |      
Bottle (2_a_Triggerfish)                                   | 800           |      
Jukebox                                                    | 1             |      
Bravo Team Tank Action Figure                              | 1             |      
Aegis Vanguard Hoplite Schematic                           | 1             |      
Red Wind Container Model                                   | 3000          |      
Year of the Rooster Envelope                               | 1200          |      
Covalex Container Model                                    | 3000          |      
CDF F8C Certification Pass (Platinum)                      | 120           |      
Francis the Stormwal Plushie                               | 6600          |      
Finley the Stormwal Large Luminalia Plushie                | 28300         |      
Year of the Ram Envelope                                   | 1200          |      
Death Mask '54 Coin                                        | 110           |      
Anvil Hurricane Schematic                                  | 1             |      
Puglisi Collection: Vasli Fragment                         | 1             |      
Carrack Plushie (1_a)                                      | 13600         |      
Locker from Another Universe                               | 1             |      
Year of the Monkey Envelope                                | 1200          |      
CitizenCon 2945 Special Edition Trophy                     | 6600          |      
Invictus Launch Week Coin                                  | 110           |      
Ribbon Fish                                                | 1             |      
Personal Care Product (Deodorant Cream Triggerfish)        | 820           |      
Ship Showdown '52 C8X Pisces Coin                          | 110           |      
Gladius Dunlevy Model                                      | 8168          |      
viVid Display                                              | 1             |      
Pico the Penguin Plushie (Destoryed)                       | 49400         |      
Luminalia Sextant                                          | 23900         |      
Tumbril Nova Model "Badland"                               | 1             |      
Starfarer Model                                            | 1             |      
Drake Cutlass Schematic "Best in Show Finalist 2949"       | 1             |      
Mirai Razor Schematic                                      | 1             |      
Fish Tank                                                  | 4000000       |      
CitizenCon 2949 Trophy                                     | 2900          |      
Armin Trask Action Figure                                  | 1             |      
Pico the Penguin Plushie (Triggerfish)                     | 55000         |      
Pleurotus Cornusymphonia (Opera Mushroom) Plant            | 1             |      
Coramor '54 Coin                                           | 110           |      
Medium Artifact Fragment (Damaged)                         | 163           |      
Pico the Penguin Party Animal Orange Plushie (Triggerfish) | 52700         |      
Cutlass Red Plushie                                        | 5620          |      
Carrack Miniature                                          | 290           |      
Holographic Vanduul Skull                                  | 2519          |      
Recon Marine Action Figure                                 | 1             |      
CitizenCon 2947 Trophy                                     | 6600          |      
T.A.B.A. Container Model                                   | 3000          |      
Hui’a Puzzle                                               | 7500          |      
Sabre Model                                                | 1             |      
United Planets of Earth Mini-Flag                          | 1             |      
Origin 85X Schematic                                       | 1             |      
Recon Marine Action Figure (Imperator Edition)             | 1             |      
Celestial Sextant                                          | 23900         |      
Drake Caterpillar Schematic "Best in Show Champion 2949"   | 1             |      
Gamescom 2946 Special Edition Trophy                       | 6600          |      
ICC Probe - Stanton                                        | 1             |      
Finley the Stormwal Luminalia Plushie                      | 6600          |      
Year of the Pig Envelope                                   | 1200          |      
Caterpillar Model "2949 Best in Show"                      | 1             |      
CitizenCon 2948 Special Edition Trophy                     | 6600          |      
First Contact Day ’54 Coin                                 | 110           |      
Aurora ES Model                                            | 1             |      
Hartwell Music Sentinel 88G                                | 1             |      
Hornet Model "Gold"                                        | 1             |      
UEE Towel                                                  | 1             |      
Small Artifact Fragment (Damaged)                          | 74            |      
Small Artifact Fragment (Flawed)                           | 74            |      
Pico the Penguin Plushie (3_a)                             | 55000         |      
Gamescom 2945 Trophy                                       | 6600          |      
Conner’s Beard Moss Plant                                  | 1             |      
Large Artifact Fragment (Pristine)                         | 2324          |      
Khartu-al Model                                            | 1             |      
Gamescom 2943 Trophy                                       | 6600          |      
Midas Fish                                                 | 1             |      
Cutlass Blue Plushie                                       | 5620          |      
Oshi                                                       | 1             |      
Invictus Patch Collection                                  | 17204         |      
Anvil Terrapin Schematic                                   | 1             |      
Vanduul Shipkiller Action Figure (Imperator Edition)       | 1             |      
Calendar                                                   | 1             |      
C2 Hercules Starlifter Plushie                             | 6620          |      
Ship Showdown '52 Scorpius Coin                            | 110           |      
Drake Dragonfly Schematic                                  | 1             |      
Book (3_m_Triggerfish)                                     | 1400          |      
Lamp                                                       | 1             |      
2945 Bond Plaque                                           | 1             |      
ArcCorp Cog Sphere Replica                                 | 36807         |      
Year of the Horse Envelope                                 | 1200          |      
Tumbril Nova Model "UEE Army" Box                          | 1             |      
Carrack Miniature "2952 Best in Show"                      | 290           |      
Mug (Triggerfish)                                          | 800           |      
Gamescom 2946 Trophy                                       | 6600          |      
Year of the Dog Envelope                                   | 1200          |      
MISC Prospector Schematic                                  | 1             |      
Ship Showdown '52 Carrack Coin                             | 110           |      
Tumbril Nova Model "UEE Army"                              | 1             |      
Twenty-Sided Die Ship Manufacturers                        | 29260         |      
Finley the Stormwal Plushie                                | 6600          |      
Vanduul Shipkiller Action Figure                           | 1             |      
Centennial Bloom Plant                                     | 1             |      
Six-Sided Rotating Die Orange                              | 194           |      
Francis the Stormwal Large Plushie                         | 28300         |      
2944 Bond Plaque                                           | 1             |      
Cot                                                        | 1             |      
Cutlass Black Plushie                                      | 5620          |      
2943 Bond Plaque                                           | 1             |      
Small Artifact Fragment (Pristine)                         | 74            |      
Mustang Beta Model                                         | 1             |      
Ration pack (Triggerfish)                                  | 300           |      
Carrack Plushie (1_b)                                      | 13600         |      
Vindel                                                     | 1             |      
Zeus Coin                                                  | 110           |      
Puglisi Collection: Armor                                  | 1             |      
Francis the Party Animal Plushie                           | 28300         |      
Bravo Team Tank Action Figure (Imperator Edition)          | 1             |      
RSI Polaris Schematic                                      | 1             |      
Golden Ticket Trophy                                       | 1             |      
Herald Model "Gold"                                        | 1             |      
RSI Cup Trophy                                             | 6600          |      
Francis the Stormwal Plushie (Triggerfish)                 | 6900          |      
Mustang Gamma Model                                        | 1             |      
Corsair Plushie                                            | 5620          |      
Advocacy Badge (Replica)                                   | 300           |      
Personal Care Product (Shaving Cream Triggerfish)          | 830           |      
Six-Sided Rotating Die Red                                 | 194           |      
Sakura Fun Green ORC-mkX Armor Bobblehead                  | 1             |      
CitizenCon 2951 Trophy                                     | 2900          |      
Six-Sided Rotating Die White                               | 194           |      
Hello Sunshine Surprised Planter                           | 8420          |      
Archibald Hurston Figurine                                 | 18693         |      
Year of the Dog Coin                                       | 110           |      
CitizenCon 2954 Trophy                                     | 2364          |      
CitizenCon 2948 Trophy                                     | 6600          |      
Ling Family Container Model                                | 3000          |      
Headhunter Head Lamp                                       | 15360         |      
Carrack Plushie                                            | 13600         |      
Hello Sunshine Cheeky Planter                              | 8420          |      
Twenty-Sided Plushie Blue                                  | 29260         |      
Ling Family Cargo Plushie                                  | 133490        |      
Zeus Trophy                                                | 1             |      
Covalex Cargo Plushie                                      | 133490        |      
ASD Lab Sample                                             | 2061          |      

=== DECORATIONS ===
Name                                              | Volume (μSCU) | Image
C1 Spirit 2954 Ship Showdown Poster               | 100           |      
Hill Horror Reborn Poster                         | 100           |      
Low End Couch (Improvised)                        | 3050000       |      
AEGS Ship Arm Chair                               | 1250000       |      
UEE Holographic Flag                              | 4760000       |      
High End Dining Chair                             | 550000        |      
High End Table Medium                             | 1610000       |      
Low End Dining Chair                              | 510000        |      
Vulture 2953 Ship Showdown Poster                 | 100           |      
Heartseeker Poster                                | 100           |      
Terrapin 2954 Ship Showdown Poster                | 100           |      
Salvaged Skull Table                              | 890000        |      
RSI Ship Arm Chair                                | 1490000       |      
Pyro Resupply Commemorative Display               | 2             |      
Low End Couch (Leather)                           | 3050000       |      
F8C Lightning 2954 Ship Showdown Holographic Flag | 4760000       |      
Irradiated Valakkar Statue                        | 1000000       |      
Corsair 2953 Ship Showdown Poster                 | 100           |      
Sand Nomad Plant Pot                              | 1000000       |      
Baltazar Stool                                    | 1000000       |      
Beanbag                                           | 1660000       |      
Low End Arm Chair                                 | 1040000       |      
Spirit of the Starman Statue                      | 3000000       |      
Low End Table Medium                              | 1610000       |      
Improvised Table Small                            | 890000        |      
Low End Table Large                               | 4220000       |      
Salvaged Polaris Captain's Chair                  | 1700000       |      
Parasite Special Edition Poster                   | 100           |      
Enemy of the Empire Statue                        | 6690000       |      
Coramor '55 Loveseat                              | 2060000       |      
Heartseeker Double Bed                            | 1.28          |      
Crusader Accent Chair                             | 380000        |      
GRX Prototype                                     | 1.31          |      
Blood Bank Poster                                 | 100           |      
Valakkar Specimen Tank                            | 1.31          |      
F8C Lightning 2954 Ship Showdown Poster           | 100           |      
Reclaimer 2954 Ship Showdown Poster               | 100           |      
Hazardous Cargo Chair                             | 370000        |      
CitizenCon 2954 Double Bed                        | 1.19          |      
Salvaged Skull Lounge Chair                       | 1100000       |      
High End Couch                                    | 3050000       |      
Red Festival Envelope Display                     | 350000        |      
RSI Accent Chair                                  | 2140000       |      
High End Table Small                              | 1120000       |      
High End Table Large                              | 5630000       |      
Bronze Mya Vase                                   | 1000000       |      
High End Arm Chair                                | 740000        |      
Salvaged Skull Couch                              | 3050000       |      
600i 2953 Ship Showdown Poster                    | 100           |      
Anvil Accent Chair                                | 2140000       |      
2954 Red Festival Poster                          | 100           |      
Drake Ship Chair                                  | 2140000       |      
Low End Table Small                               | 890000        |      
Hull C Poster                                     | 100           |      
Redeemer 2953 Ship Showdown Poster                | 100           |      

=== MISCELLANEOUS ===
Name                                           | Volume (μSCU) | Image
Government Cartography Agency Medal (Worn)     | 173           |      
Irradiated Valakkar Fang (Adult)               | 2900          |      
Quasi Grazer Tongue                            | 1000          |      
Glacosite                                      | 1000          |      
Prota                                          | 470           |      
Government Cartography Agency Medal (Pristine) | 173           |      
MG Scrip                                       | 2200          |      
Scrap Cable Coil                               | 1000          |      
Jaclium (Ore)                                  | 1000          |      
Fotia Seedpod                                  | 10300         |      
RCMBNT-XTL-3                                   | 8000000       |      
Scrap Bearing                                  | 1000          |      
Mala                                           | 650           |      
RCMBNT-RGL-2                                   | 8000000       |      
Ammunition Crate                               | 124503        |      
Pancea MedGel Canister                         | 6080          |      
UNE Silver Ingot (Flawed)                      | 652           |      
Scrap Cable Bundle                             | 1000          |      
Carinite (Pure)                                | 1000          |      
Freeze                                         | 550           |      
Tevarin War Service Marker (Worn)              | 172           |      
Kopion Horn                                    | 1000          |      
Carinite (Ground Vehicle)                      | 1000          |      
Tundra Kopion Horn                             | 1001          |      
UEE 6th Platoon Medal (Pristine)               | 173           |      
RCMBNT-RGL-1                                   | 8000000       |      
RCMBNT-PWL-1                                   | 8000000       |      
Hadanite                                       | 1000          |      
Jungle Quasi Grazer Egg                        | 1000          |      
One Empire 200th Anniversary Coin              | 1             |      
UNE Silver Ingot (Pristine)                    | 652           |      
Janalite                                       | 1000          |      
Pizza Box                                      | 5700          |      
Beradom                                        | 1000          |      
Irradiated Kopion Horn                         | 1000          |      
Irradiated Valakkar Hide                       | 1000          |      
Thrust                                         | 550           |      
Compboard                                      | 810           |      
Decari Pod                                     | 2580          |      
RCMBNT-XTL-2                                   | 8000000       |      
Ranta Dung                                     | 390           |      
RCMBNT-RGL-3                                   | 8000000       |      
items_commodities_valakkarpearl_apex_tier2     | 5000          |      
Tevarin War Service Marker (Pristine)          | 173           |      
Scrap Valve                                    | 1000          |      
RCMBNT-PWL-3                                   | 8000000       |      
Stone Bug Shell                                | 32450         |      
Feynmaline                                     | 1000          |      
Marok Gem                                      | 1000          |      
UEE 6th Platoon Medal (Damaged)                | 171           |      
Tevarin War Service Marker (Damaged)           | 171           |      
SLAM                                           | 560           |      
Irradiated Valakkar Fang (Juvenile)            | 100           |      
Dopple                                         | 550           |      
UNE Gold Ingot (Damaged)                       | 652           |      
Boreal Quasi Grazer Egg                        | 1000          |      
E'tam (b)                                      | 560           |      
Valakkar Fang (Adult)                          | 2900          |      
RCMBNT-XTL-1                                   | 8000000       |      
items_commodities_valakkarpearl_apex_tier4     | 2100          |      
Fuse                                           | 510           |      
UNE Gold Ingot (Flawed)                        | 652           |      
E'tam (a)                                      | 560           |      
Zip                                            | 650           |      
Carinite (FPS)                                 | 1000          |      
Amioshi Plague                                 | 3700          |      
UNE Gold Ingot (Pristine)                      | 652           |      
Cave Kopion Horn                               | 1002          |      
Tundra Quasi Grazer Egg                        | 1000          |      
Government Cartography Agency Medal (Damaged)  | 173           |      
Aphorite                                       | 1000          |      
UEE 6th Platoon Medal (Worn)                   | 172           |      
Desert Quasi Grazer Egg                        | 1000          |      
Savannah Kopion Horn                           | 1003          |      
Altruciatoxin (a)                              | 560           |      
